seq,category,notes
41,03-counter-kiosk-order,카운터와 장비
42,02-interior-seating,좌석과 진열대
43,06-menu-promotion,외부 메뉴 입간판
44,03-counter-kiosk-order,키오스크와 주문 동선
45,06-menu-promotion,굿즈 진열대
46,02-interior-seating,좌석과 브랜드 월사인
47,03-counter-kiosk-order,카운터와 메뉴보드
48,03-counter-kiosk-order,카운터와 메뉴보드
49,05-food-drink-menu,테이크아웃 컵 제품컷
50,01-exterior-signage,외부 출입구와 홍보물
51,03-counter-kiosk-order,카운터와 메뉴보드
52,03-counter-kiosk-order,카운터 메뉴보드
53,02-interior-seating,넓은 좌석 공간
54,02-interior-seating,좌석 공간
55,01-exterior-signage,외부 전면 간판
56,03-counter-kiosk-order,카운터와 메뉴보드
57,06-menu-promotion,외부 메뉴 입간판
58,05-food-drink-menu,음료 제품컷
59,02-interior-seating,좌석과 브랜드 월사인
60,03-counter-kiosk-order,카운터와 장비
61,05-food-drink-menu,음료와 디저트 제품컷
62,01-exterior-signage,외부 전면 간판
63,01-exterior-signage,외부 코너 매장 전경
64,03-counter-kiosk-order,카운터와 내부 동선
65,05-food-drink-menu,음료 제품컷
66,02-interior-seating,좌석과 브랜드 월사인
67,06-menu-promotion,메뉴 프로모션 포스터
68,05-food-drink-menu,음료 제품컷
69,05-food-drink-menu,음료 제품컷
70,03-counter-kiosk-order,카운터와 메뉴보드
71,02-interior-seating,좌석과 브랜드 월사인
72,02-interior-seating,좌석 공간
73,06-menu-promotion,굿즈 진열대
74,06-menu-promotion,굿즈 진열대
75,03-counter-kiosk-order,키오스크와 카운터
76,02-interior-seating,좌석과 브랜드 월사인
77,03-counter-kiosk-order,카운터와 메뉴보드
78,06-menu-promotion,벽면 포스터
79,05-food-drink-menu,음료와 디저트 제품컷
80,02-interior-seating,벽면 브랜드 그래픽

