seq,category,notes
1,02-interior-seating,좌석과 내부 동선
2,04-kitchen-equipment,커피머신 장비 클로즈업
3,02-interior-seating,좌석 공간
4,02-interior-seating,좌석과 브랜드 월사인
5,03-counter-kiosk-order,카운터와 메뉴보드
6,05-food-drink-menu,음료 제품컷
7,02-interior-seating,좌석과 브랜드 월사인
8,03-counter-kiosk-order,카운터와 메뉴보드
9,03-counter-kiosk-order,카운터와 장비
10,02-interior-seating,좌석과 내부 동선
11,01-exterior-signage,외부 전면 간판
12,05-food-drink-menu,음료 제품컷
13,01-exterior-signage,외부 전면 간판
14,02-interior-seating,긴 좌석 동선
15,02-interior-seating,좌석 공간
16,04-kitchen-equipment,커피머신과 제조 장비
17,01-exterior-signage,외부 전면 간판
18,02-interior-seating,좌석과 진열대
19,02-interior-seating,넓은 좌석 공간
20,02-interior-seating,브랜드 로고 벽면
21,02-interior-seating,좌석과 진열대
22,02-interior-seating,넓은 좌석 공간
23,02-interior-seating,좌석 공간
24,05-food-drink-menu,음료 제품컷
25,06-menu-promotion,시즌 메뉴 포스터
26,01-exterior-signage,외부 전면 간판
27,03-counter-kiosk-order,카운터와 메뉴보드
28,02-interior-seating,브랜드 로고 벽면
29,06-menu-promotion,굿즈 진열대
30,01-exterior-signage,외부 전면 간판
31,06-menu-promotion,브랜드 포스터
32,06-menu-promotion,굿즈 진열대
33,03-counter-kiosk-order,카운터와 메뉴보드
34,02-interior-seating,넓은 좌석 공간
35,02-interior-seating,좌석 공간
36,02-interior-seating,좌석 공간
37,04-kitchen-equipment,커피머신 장비 클로즈업
38,03-counter-kiosk-order,카운터 메뉴보드
39,06-menu-promotion,브랜드 로고와 진열대
40,02-interior-seating,브랜드 월사인

