seq,category,notes
281,02-interior-seating,좌석과 굿즈 진열대
282,03-counter-kiosk-order,카운터와 메뉴보드
283,05-food-drink-menu,음료 제품컷
284,02-interior-seating,브랜드 월사인과 좌석
285,04-kitchen-equipment,커피머신과 카운터
286,03-counter-kiosk-order,카운터와 메뉴보드
287,01-exterior-signage,외부 간판 클로즈업
288,04-kitchen-equipment,커피머신 장비 클로즈업
289,02-interior-seating,좌석과 굿즈 진열대
290,01-exterior-signage,외부 주문창과 메뉴판
291,04-kitchen-equipment,커피머신 장비 클로즈업
292,02-interior-seating,브랜드 월사인과 좌석
293,03-counter-kiosk-order,카운터와 내부 동선
294,01-exterior-signage,외부 전면 간판
295,02-interior-seating,좌석과 굿즈 진열대
296,06-menu-promotion,컵 사이즈 진열
297,01-exterior-signage,외부 전면 간판
298,02-interior-seating,좌석과 포스터
299,06-menu-promotion,굿즈 진열대
300,02-interior-seating,좌석과 굿즈 진열대
301,02-interior-seating,좌석과 굿즈 진열대
302,03-counter-kiosk-order,카운터와 내부 동선
303,03-counter-kiosk-order,키오스크 주문 동선
304,02-interior-seating,화장실/내부 동선
305,02-interior-seating,브랜드 로고 벽면
306,02-interior-seating,창가 좌석
307,02-interior-seating,좌석 공간
308,01-exterior-signage,외부 출입구와 입간판
309,06-menu-promotion,프로모션 진열물
310,06-menu-promotion,굿즈 진열대
311,02-interior-seating,브랜드 월사인과 좌석
312,03-counter-kiosk-order,카운터와 진열대
313,02-interior-seating,좌석과 내부 동선
314,03-counter-kiosk-order,카운터와 메뉴보드
315,03-counter-kiosk-order,카운터와 키오스크
316,02-interior-seating,브랜드 월사인과 좌석
317,02-interior-seating,좌석과 굿즈 진열대
318,03-counter-kiosk-order,카운터와 내부 동선
319,03-counter-kiosk-order,카운터와 메뉴보드
320,02-interior-seating,좌석 공간

