seq,category,notes
81,06-menu-promotion,굿즈 진열대
82,01-exterior-signage,외부 전면 간판
83,02-interior-seating,좌석 공간
84,03-counter-kiosk-order,카운터와 메뉴보드
85,03-counter-kiosk-order,카운터와 메뉴보드
86,02-interior-seating,좌석 공간
87,05-food-drink-menu,음료 제품컷
88,02-interior-seating,브랜드 월사인과 좌석
89,03-counter-kiosk-order,카운터 메뉴보드
90,03-counter-kiosk-order,카운터와 쇼케이스
91,01-exterior-signage,외부 전면 간판
92,01-exterior-signage,외부 전면 간판
93,03-counter-kiosk-order,카운터와 내부 동선
94,03-counter-kiosk-order,카운터와 장비
95,01-exterior-signage,외부 코너 매장 전경
96,02-interior-seating,브랜드 월사인과 좌석
97,02-interior-seating,브랜드 월사인과 좌석
98,04-kitchen-equipment,커피머신 장비 클로즈업
99,06-menu-promotion,브랜드 포스터와 진열대
100,05-food-drink-menu,음료 제품컷
101,01-exterior-signage,외부 전면 간판
102,04-kitchen-equipment,커피머신과 제조 장비
103,02-interior-seating,브랜드 월사인과 좌석
104,02-interior-seating,좌석 공간
105,01-exterior-signage,외부 전면 간판
106,03-counter-kiosk-order,카운터와 메뉴보드
107,03-counter-kiosk-order,카운터 메뉴보드
108,04-kitchen-equipment,커피머신 장비 클로즈업
109,01-exterior-signage,외부 주문창과 입간판
110,06-menu-promotion,굿즈 진열대
111,02-interior-seating,브랜드 월사인과 좌석
112,03-counter-kiosk-order,카운터와 메뉴보드
113,02-interior-seating,좌석과 카운터 동선
114,01-exterior-signage,외부 돌출 간판
115,02-interior-seating,소형 좌석 공간
116,02-interior-seating,좌석과 진열대
117,06-menu-promotion,키오스크 메뉴 화면
118,03-counter-kiosk-order,키오스크와 카운터
119,02-interior-seating,넓은 좌석 공간
120,02-interior-seating,좌석 공간

