seq,category,notes
241,01-exterior-signage,외부 전면 간판
242,01-exterior-signage,외부 전면 간판
243,03-counter-kiosk-order,카운터와 내부 동선
244,02-interior-seating,긴 좌석 동선
245,04-kitchen-equipment,커피머신 장비 클로즈업
246,02-interior-seating,긴 좌석 동선
247,05-food-drink-menu,음료 제품컷
248,04-kitchen-equipment,커피머신과 컵 진열
249,03-counter-kiosk-order,카운터와 메뉴보드
250,06-menu-promotion,굿즈 진열대
251,06-menu-promotion,굿즈 진열대
252,04-kitchen-equipment,커피머신과 카운터
253,02-interior-seating,좌석 공간
254,04-kitchen-equipment,커피머신과 메뉴보드
255,02-interior-seating,브랜드 월사인과 좌석
256,04-kitchen-equipment,커피머신과 카운터
257,03-counter-kiosk-order,키오스크와 카운터 동선
258,04-kitchen-equipment,커피머신과 카운터
259,02-interior-seating,좌석과 굿즈 진열대
260,02-interior-seating,브랜드 월사인과 좌석
261,02-interior-seating,좌석과 굿즈 진열대
262,02-interior-seating,브랜드 월사인과 좌석
263,02-interior-seating,소파 좌석
264,03-counter-kiosk-order,카운터와 내부 동선
265,03-counter-kiosk-order,카운터와 메뉴보드
266,02-interior-seating,좌석 공간
267,02-interior-seating,좌석 공간
268,02-interior-seating,브랜드 그래픽 벽면
269,03-counter-kiosk-order,키오스크와 카운터
270,02-interior-seating,벽면 그래픽
271,02-interior-seating,창가 좌석
272,01-exterior-signage,외부 전면 간판
273,02-interior-seating,긴 내부 동선
274,02-interior-seating,키오스크와 내부 동선
275,02-interior-seating,좌석과 브랜드 월사인
276,02-interior-seating,좌석과 브랜드 월사인
277,03-counter-kiosk-order,카운터와 메뉴보드
278,03-counter-kiosk-order,카운터 메뉴보드
279,06-menu-promotion,메뉴 입간판
280,02-interior-seating,브랜드 로고 벽면

