seq,category,notes
201,01-exterior-signage,외부 전면 간판
202,06-menu-promotion,굿즈 진열대와 좌석
203,06-menu-promotion,굿즈 진열대
204,02-interior-seating,창가 좌석
205,03-counter-kiosk-order,카운터와 홍보물
206,03-counter-kiosk-order,카운터와 메뉴보드
207,03-counter-kiosk-order,카운터와 메뉴보드
208,04-kitchen-equipment,커피머신과 제조 장비
209,01-exterior-signage,외부 전면 간판
210,02-interior-seating,좌석과 굿즈 진열대
211,02-interior-seating,브랜드 그래픽 벽면
212,02-interior-seating,소형 좌석 공간
213,02-interior-seating,소형 좌석 공간
214,03-counter-kiosk-order,카운터와 내부 동선
215,07-street-trade-area,건물 코너와 매장 전경
216,02-interior-seating,창가 좌석
217,02-interior-seating,좌석과 굿즈 진열대
218,02-interior-seating,브랜드 월사인과 좌석
219,02-interior-seating,넓은 좌석 공간
220,02-interior-seating,좌석과 카운터 방향
221,01-exterior-signage,외부 전면 간판
222,06-menu-promotion,프로모션 입간판
223,06-menu-promotion,굿즈 진열대
224,02-interior-seating,좌석과 굿즈 진열대
225,01-exterior-signage,외부 주문창과 간판
226,01-exterior-signage,외부 전면 간판
227,03-counter-kiosk-order,카운터와 메뉴보드
228,03-counter-kiosk-order,카운터와 메뉴보드
229,02-interior-seating,넓은 좌석 공간
230,02-interior-seating,좌석과 브랜드 벽면
231,03-counter-kiosk-order,카운터와 메뉴보드
232,04-kitchen-equipment,커피머신 장비 클로즈업
233,01-exterior-signage,외부 코너 매장 전경
234,03-counter-kiosk-order,카운터와 좌석 방향
235,04-kitchen-equipment,커피머신과 카운터
236,01-exterior-signage,외부 전면 간판
237,04-kitchen-equipment,커피머신과 카운터
238,04-kitchen-equipment,커피 그라인더와 장비
239,06-menu-promotion,프로모션 진열물
240,06-menu-promotion,굿즈 진열대

