filename,category,notes
megacoffee-0081-5_10.jpg,01-exterior-signage,외부 전면 간판과 출입구
megacoffee-0082-5_11.jpg,02-interior-seating,좌석과 내부 벽면
megacoffee-0083-5_12.jpg,01-exterior-signage,출입구와 외부 홍보물
megacoffee-0084-5_13.jpg,03-counter-kiosk-order,카운터와 주문 동선
megacoffee-0085-5_14.jpg,03-counter-kiosk-order,카운터와 내부 동선
megacoffee-0086-5_15.jpg,09-caution-unusable,인물 홍보물이 크게 노출됨
megacoffee-0087-5_16.jpg,03-counter-kiosk-order,카운터 진열과 주문 공간
megacoffee-0088-5_17.jpg,02-interior-seating,벽면 그래픽과 좌석
megacoffee-0089-5_18.jpg,01-exterior-signage,야간 외부 간판과 출입구
megacoffee-0090-5_19.jpg,03-counter-kiosk-order,키오스크와 출입구 주문 동선
megacoffee-0091-5_2.jpg,02-interior-seating,넓은 좌석 공간
megacoffee-0092-5_20.jpg,03-counter-kiosk-order,카운터 내부와 주문 동선
megacoffee-0093-5_21.jpg,05-food-drink-menu,제품 패키지 컷
megacoffee-0094-5_22.jpg,05-food-drink-menu,음료 제품컷
megacoffee-0095-5_23.jpg,01-exterior-signage,외부 주문창과 입구
megacoffee-0096-5_24.jpg,01-exterior-signage,외부 주문창과 브랜드 사인
megacoffee-0097-5_25.jpg,05-food-drink-menu,디저트 및 간식 제품컷
megacoffee-0098-5_26.jpg,01-exterior-signage,출입구와 외부 홍보물
megacoffee-0099-5_3.jpg,01-exterior-signage,외부 전면 간판
megacoffee-0100-5_4.jpg,02-interior-seating,좌석과 내부 공간
megacoffee-0101-5_5.jpg,03-counter-kiosk-order,카운터와 디지털 메뉴
megacoffee-0102-5_6.jpg,06-menu-promotion,메뉴보드와 홍보물
megacoffee-0103-5_7.jpg,01-exterior-signage,출입구와 입간판
megacoffee-0104-5_8.jpg,03-counter-kiosk-order,카운터와 쇼케이스
megacoffee-0105-5_9.jpg,03-counter-kiosk-order,카운터와 매장 내부
megacoffee-0106-5월_1.jpeg,01-exterior-signage,외부 간판과 출입구
megacoffee-0107-5월_10.jpeg,02-interior-seating,출입구 쪽 내부 공간
megacoffee-0108-5월_11.jpeg,02-interior-seating,노란 벽면 좌석
megacoffee-0109-5월_12.jpeg,02-interior-seating,브랜드 월사인
megacoffee-0110-5월_13.jpeg,06-menu-promotion,카운터 진열과 홍보물
megacoffee-0111-5월_14.jpeg,05-food-drink-menu,디저트 제품컷
megacoffee-0112-5월_15.jpeg,01-exterior-signage,외부 전면 간판
megacoffee-0113-5월_16.jpeg,01-exterior-signage,출입구와 브랜드 사인
megacoffee-0114-5월_17.jpeg,06-menu-promotion,메뉴보드와 프로모션 화면
megacoffee-0115-5월_18.jpeg,01-exterior-signage,외부 간판 클로즈업
megacoffee-0116-5월_19.jpeg,03-counter-kiosk-order,카운터와 내부 동선
megacoffee-0117-5월_2.jpeg,06-menu-promotion,디지털 메뉴보드
megacoffee-0118-5월_20.jpeg,02-interior-seating,좌석과 브랜드 월사인
megacoffee-0119-5월_21.jpeg,01-exterior-signage,외부 전면 간판
megacoffee-0120-5월_22.jpeg,01-exterior-signage,외부 전면 간판과 출입구

