seq,category,notes
121,05-food-drink-menu,디저트 제품컷
122,01-exterior-signage,외부 전면 간판
123,02-interior-seating,좌석과 내부 벽면
124,01-exterior-signage,외부 주문창과 프로모션
125,02-interior-seating,좌석 공간
126,01-exterior-signage,외부 간판 클로즈업
127,06-menu-promotion,벽면 안내 및 캐릭터 그래픽
128,03-counter-kiosk-order,키오스크 화면
129,06-menu-promotion,프로모션 포스터
130,06-menu-promotion,입간판형 메뉴 홍보물
131,01-exterior-signage,외부 전면과 행사 장식
132,02-interior-seating,좌석 공간
133,02-interior-seating,좌석과 카운터 방향
134,03-counter-kiosk-order,카운터 제조 동선
135,01-exterior-signage,출입구와 키오스크
136,01-exterior-signage,외부 전면 간판
137,03-counter-kiosk-order,키오스크와 매장 내부
138,02-interior-seating,넓은 좌석 공간
139,01-exterior-signage,외부 전면 출입구
140,01-exterior-signage,외부 간판 디테일
141,03-counter-kiosk-order,카운터와 메뉴보드
142,02-interior-seating,브랜드 로고 벽면
143,02-interior-seating,브랜드 월사인과 좌석
144,02-interior-seating,브랜드 로고 디테일
145,02-interior-seating,좌석과 벽면 문구
146,01-exterior-signage,외부 전면 간판
147,02-interior-seating,좌석과 내부 벽면
148,02-interior-seating,브랜드 월사인
149,03-counter-kiosk-order,카운터와 좌석 동선
150,02-interior-seating,좌석과 카운터 방향
151,09-caution-unusable,인물 홍보물이 크게 노출됨
152,03-counter-kiosk-order,카운터와 출입구 동선
153,02-interior-seating,노란 벽면 좌석
154,02-interior-seating,긴 좌석 동선
155,02-interior-seating,소형 좌석 공간
156,02-interior-seating,좌석과 내부 동선
157,03-counter-kiosk-order,카운터와 쇼케이스
158,02-interior-seating,벽면 브랜드 문구
159,03-counter-kiosk-order,카운터와 메뉴보드
160,03-counter-kiosk-order,카운터와 주문 동선

