seq,category,notes
401,02-interior-seating,좌석 공간; 사람 있음
402,07-street-trade-area,횡단보도와 매장 전면
403,02-interior-seating,좌석 공간; 사람 있음
404,03-counter-kiosk-order,카운터와 주문 동선; 사람 있음
405,03-counter-kiosk-order,카운터와 내부 동선; 사람 있음
406,02-interior-seating,브랜드 월사인과 좌석; 사람 있음
407,02-interior-seating,소형 좌석 공간
408,06-menu-promotion,키오스크와 진열대
409,01-exterior-signage,외부 전면 간판
410,06-menu-promotion,프로모션 포스터
411,03-counter-kiosk-order,카운터와 메뉴보드
412,02-interior-seating,좌석과 출입구 방향
413,02-interior-seating,노란 벽면 좌석
414,03-counter-kiosk-order,쇼케이스와 주문 동선
415,02-interior-seating,창가 좌석과 브랜드 월사인
416,05-food-drink-menu,디저트 제품컷
417,03-counter-kiosk-order,입구와 주문 동선
418,01-exterior-signage,외부 전면 간판
419,01-exterior-signage,외부 프로모션과 간판
420,01-exterior-signage,외부 간판 클로즈업
421,02-interior-seating,좌석과 진열 동선
422,07-street-trade-area,건물 외부와 주변 동선
423,03-counter-kiosk-order,카운터와 메뉴보드
424,02-interior-seating,좌석과 브랜드 월사인
425,02-interior-seating,넓은 좌석 공간
426,02-interior-seating,좌석 공간
427,06-menu-promotion,진열대와 홍보물
428,05-food-drink-menu,제품 이미지 컷
429,09-caution-unusable,인물 홍보물이 크게 노출됨
430,01-exterior-signage,외부 출입구와 매장 내부; 사람 있음
431,02-interior-seating,좌석과 벽면 문구
432,02-interior-seating,노란 벽면 좌석
433,02-interior-seating,노란 벽면 좌석
434,02-interior-seating,노란 벽면 좌석
435,09-caution-unusable,인물 홍보물과 안내물이 크게 노출됨
436,01-exterior-signage,외부 주문창과 간판
437,01-exterior-signage,외부 주문창
438,03-counter-kiosk-order,카운터 제조 동선; 사람 있음
439,01-exterior-signage,외부 간판 클로즈업
440,06-menu-promotion,외부 진열대와 홍보물

