seq,category,notes
201,09-caution-unusable,인물 홍보물이 크게 노출됨
202,02-interior-seating,좌석과 내부 동선
203,02-interior-seating,좌석과 벽면 문구
204,09-caution-unusable,인물 홍보물이 크게 노출됨
205,01-exterior-signage,외부 전면 간판
206,02-interior-seating,노란 벽면 좌석
207,01-exterior-signage,외부 주문창
208,02-interior-seating,넓은 좌석 공간
209,05-food-drink-menu,음료 제품컷
210,02-interior-seating,좌석과 벽면 그래픽
211,03-counter-kiosk-order,카운터와 메뉴보드
212,02-interior-seating,좌석과 브랜드 월사인
213,01-exterior-signage,외부 전면 간판
214,02-interior-seating,좌석 공간
215,02-interior-seating,벽면 그래픽과 좌석
216,03-counter-kiosk-order,카운터와 메뉴보드
217,01-exterior-signage,외부 전면과 입간판
218,09-caution-unusable,인물 홍보물이 크게 노출됨
219,01-exterior-signage,외부 전면 간판
220,06-menu-promotion,메뉴보드와 프로모션
221,03-counter-kiosk-order,출입구와 주문 동선
222,02-interior-seating,좌석 공간
223,02-interior-seating,창가 좌석
224,05-food-drink-menu,디저트 제품컷
225,02-interior-seating,좌석과 브랜드 월사인
226,05-food-drink-menu,음료 제품컷
227,06-menu-promotion,디지털 홍보 화면
228,06-menu-promotion,카운터 메뉴 홍보물
229,02-interior-seating,좌석 공간
230,06-menu-promotion,내부 진열과 홍보물
231,09-caution-unusable,인물 홍보물이 크게 노출됨
232,01-exterior-signage,외부 간판과 대형 배너
233,02-interior-seating,노란 벽면 좌석
234,05-food-drink-menu,음료 제품컷
235,03-counter-kiosk-order,카운터 제조 동선
236,01-exterior-signage,외부 전면 간판
237,03-counter-kiosk-order,카운터와 메뉴보드
238,02-interior-seating,좌석 디테일
239,01-exterior-signage,외부 전면 간판
240,02-interior-seating,브랜드 로고 벽면

