filename,category,notes
megacoffee-0001-2_1.jpg,03-counter-kiosk-order,카운터와 메뉴보드가 함께 보이는 매장 내부
megacoffee-0002-2_10.jpg,03-counter-kiosk-order,주문 카운터와 메뉴보드
megacoffee-0003-2_11.jpg,03-counter-kiosk-order,카운터 정면과 디지털 메뉴
megacoffee-0004-2_12.jpg,05-food-drink-menu,음료와 디저트
megacoffee-0005-2_13.jpg,02-interior-seating,창가 좌석
megacoffee-0006-2_14.jpg,02-interior-seating,좌석과 매장 내부
megacoffee-0007-2_15.jpg,02-interior-seating,벽면 그래픽과 좌석
megacoffee-0008-2_16.jpg,06-menu-promotion,홍보물과 냉장 쇼케이스
megacoffee-0009-2_17.jpg,01-exterior-signage,외부 간판과 출입구
megacoffee-0010-2_18.jpg,02-interior-seating,좌석 공간
megacoffee-0011-2_19.jpg,03-counter-kiosk-order,픽업 동선과 카운터
megacoffee-0012-2_2.jpg,03-counter-kiosk-order,좌석에서 보이는 카운터와 메뉴보드
megacoffee-0013-2_20.jpg,02-interior-seating,좌석과 벽면 그래픽
megacoffee-0014-2_21.jpg,02-interior-seating,좌석 공간
megacoffee-0015-2_22.jpg,09-caution-unusable,인물 홍보물이 크게 노출됨
megacoffee-0016-2_23.jpg,05-food-drink-menu,음료 2종
megacoffee-0017-2_24.jpg,02-interior-seating,내부 진열과 벽면
megacoffee-0018-2_25.jpg,03-counter-kiosk-order,카운터와 좌석 동선
megacoffee-0019-2_26.jpg,05-food-drink-menu,음료와 디저트 컷
megacoffee-0020-2_27.jpg,01-exterior-signage,외부 전면 간판
megacoffee-0021-2_28.jpg,02-interior-seating,브랜드 월사인과 좌석
megacoffee-0022-2_29.jpg,01-exterior-signage,외부 코너 매장 전경
megacoffee-0023-2_3.jpg,02-interior-seating,좌석 공간 넓은 컷
megacoffee-0024-2_30.jpg,09-caution-unusable,인물 홍보물이 크게 노출됨
megacoffee-0025-2_31.jpg,01-exterior-signage,야간 외부 간판
megacoffee-0026-2_32.jpg,02-interior-seating,내부 좌석과 카운터 방향
megacoffee-0027-2_33.jpg,05-food-drink-menu,음료 2종
megacoffee-0028-2_4.jpg,02-interior-seating,좌석과 내부 분위기
megacoffee-0029-2_5.jpg,02-interior-seating,좌석과 브랜드 월사인
megacoffee-0030-2_6.jpg,06-menu-promotion,MEGA SIZE 홍보 문구
megacoffee-0031-2_7.jpg,09-caution-unusable,인물 홍보물이 크게 노출됨
megacoffee-0032-2_8.jpg,01-exterior-signage,출입구와 외부 홍보물
megacoffee-0033-2_9.jpg,01-exterior-signage,야간 출입구 전경
megacoffee-0034-4_1.jpg,01-exterior-signage,출입구와 유리문
megacoffee-0035-4_10.jpg,01-exterior-signage,외부 간판과 입구
megacoffee-0036-4_11.jpg,02-interior-seating,좌석 공간
megacoffee-0037-4_12.jpg,02-interior-seating,좌석과 브랜드 월사인
megacoffee-0038-4_13.jpg,02-interior-seating,내부 좌석과 카운터 방향
megacoffee-0039-4_14.jpg,03-counter-kiosk-order,카운터와 제조 동선
megacoffee-0040-4_15.jpg,03-counter-kiosk-order,카운터와 주문 동선

