seq,category,notes
161,05-food-drink-menu,제품 진열대
162,05-food-drink-menu,샐러드 제품컷
163,02-interior-seating,좌석 공간
164,01-exterior-signage,외부 전면 간판
165,05-food-drink-menu,샌드위치 재료 쇼케이스
166,03-counter-kiosk-order,음료 냉장고와 디스펜서
167,02-interior-seating,좌석 공간
168,02-interior-seating,좌석과 브랜드 월사인
169,03-counter-kiosk-order,카운터와 메뉴보드
170,03-counter-kiosk-order,키오스크 주문 동선
171,02-interior-seating,좌석과 브랜드 월사인
172,06-menu-promotion,메뉴 안내판과 주문 동선
173,02-interior-seating,좌석과 벽면 문구
174,02-interior-seating,좌석과 브랜드 컬러 벽면
175,02-interior-seating,브랜드 네온사인과 좌석
176,05-food-drink-menu,샌드위치 재료 쇼케이스
177,05-food-drink-menu,샌드위치 재료 쇼케이스
178,02-interior-seating,좌석과 벽면 문구
179,05-food-drink-menu,샌드위치 제품컷
180,02-interior-seating,창가 좌석
181,05-food-drink-menu,쇼케이스와 메뉴보드
182,05-food-drink-menu,샌드위치 재료 쇼케이스
183,02-interior-seating,좌석과 브랜드 월사인
184,05-food-drink-menu,샌드위치 제품컷
185,05-food-drink-menu,샌드위치 제품컷
186,03-counter-kiosk-order,키오스크 주문 동선
187,03-counter-kiosk-order,음료 냉장고와 디스펜서
188,01-exterior-signage,외부 야간 전면 간판
189,02-interior-seating,넓은 좌석과 카운터 방향; 사람 있음
190,02-interior-seating,넓은 좌석과 카운터 방향; 사람 있음
191,02-interior-seating,카운터와 좌석 동선; 사람 있음
192,01-exterior-signage,외부 야간 전면 간판
193,02-interior-seating,좌석과 카운터 방향; 사람 있음
194,03-counter-kiosk-order,카운터와 메뉴보드
195,03-counter-kiosk-order,키오스크 주문 동선
196,09-caution-unusable,인물 홍보물이 크게 노출됨
197,02-interior-seating,넓은 좌석 공간
198,02-interior-seating,브랜드 월사인
199,05-food-drink-menu,샌드위치 재료 쇼케이스

