seq,category,notes
81,03-counter-kiosk-order,키오스크 주문 동선
82,01-exterior-signage,외부 간판 클로즈업
83,05-food-drink-menu,샌드위치 재료 쇼케이스
84,03-counter-kiosk-order,카운터와 좌석 방향
85,02-interior-seating,좌석과 브랜드 월사인
86,02-interior-seating,좌석과 카운터 방향
87,02-interior-seating,좌석과 카운터 방향
88,03-counter-kiosk-order,키오스크 주문 동선
89,01-exterior-signage,외부 전면 간판
90,02-interior-seating,넓은 좌석 공간
91,03-counter-kiosk-order,카운터와 메뉴보드
92,05-food-drink-menu,샌드위치 포장 제품컷
93,03-counter-kiosk-order,카운터와 메뉴보드
94,02-interior-seating,좌석과 브랜드 월사인
95,03-counter-kiosk-order,카운터와 진열 동선
96,03-counter-kiosk-order,카운터와 메뉴보드
97,02-interior-seating,좌석과 브랜드 월사인
98,02-interior-seating,좌석 공간
99,03-counter-kiosk-order,카운터와 브랜드 월사인
100,02-interior-seating,창가 좌석과 브랜드 월사인
101,02-interior-seating,좌석과 벽면 그래픽
102,05-food-drink-menu,제품과 음료 컷
103,02-interior-seating,브랜드 월사인과 좌석
104,03-counter-kiosk-order,키오스크와 출입구 동선
105,02-interior-seating,좌석과 벽면 문구
106,02-interior-seating,좌석과 카운터 방향
107,05-food-drink-menu,쿠키 쇼케이스
108,05-food-drink-menu,제품 진열대
109,01-exterior-signage,외부 간판과 쇼윈도
110,02-interior-seating,좌석과 카운터 방향
111,03-counter-kiosk-order,카운터와 메뉴보드
112,02-interior-seating,창가 좌석
113,02-interior-seating,출입구 방향 좌석
114,01-exterior-signage,외부 전면 간판
115,05-food-drink-menu,음료와 샌드위치 제품컷
116,03-counter-kiosk-order,카운터와 메뉴보드
117,03-counter-kiosk-order,키오스크 주문 동선
118,05-food-drink-menu,샌드위치 재료 쇼케이스
119,01-exterior-signage,외부 전면 간판
120,05-food-drink-menu,샌드위치 재료 쇼케이스

