seq,category,notes
41,01-exterior-signage,외부 간판과 제품 이미지
42,05-food-drink-menu,샌드위치 재료 쇼케이스
43,02-interior-seating,좌석과 브랜드 컬러 벽면
44,03-counter-kiosk-order,키오스크 주문 동선
45,02-interior-seating,좌석 공간
46,03-counter-kiosk-order,키오스크와 좌석 동선
47,02-interior-seating,좌석과 브랜드 월사인
48,05-food-drink-menu,샌드위치 제품컷
49,03-counter-kiosk-order,키오스크와 출입구 동선
50,01-exterior-signage,외부 매장 전면
51,02-interior-seating,브랜드 월사인과 좌석
52,02-interior-seating,좌석과 카운터 방향
53,02-interior-seating,좌석과 브랜드 그래픽
54,02-interior-seating,좌석 공간
55,01-exterior-signage,외부 야간 간판
56,02-interior-seating,좌석 공간
57,02-interior-seating,브랜드 월사인과 좌석
58,02-interior-seating,좌석 공간
59,02-interior-seating,좌석과 브랜드 월사인
60,05-food-drink-menu,샌드위치 재료 쇼케이스
61,03-counter-kiosk-order,카운터와 메뉴보드
62,01-exterior-signage,외부 전면 간판
63,02-interior-seating,넓은 좌석 공간
64,05-food-drink-menu,샌드위치 제품컷
65,03-counter-kiosk-order,키오스크 주문 동선
66,01-exterior-signage,외부 전면 간판
67,03-counter-kiosk-order,키오스크 주문 동선
68,02-interior-seating,좌석 공간
69,03-counter-kiosk-order,키오스크 주문 동선
70,01-exterior-signage,외부 간판 클로즈업
71,02-interior-seating,좌석과 브랜드 컬러 벽면
72,05-food-drink-menu,음료와 포장 제품컷
73,03-counter-kiosk-order,키오스크와 출입구 동선
74,01-exterior-signage,외부 전면 간판
75,05-food-drink-menu,샌드위치 재료 쇼케이스
76,01-exterior-signage,외부 전면 간판
77,05-food-drink-menu,샌드위치 재료 쇼케이스
78,01-exterior-signage,외부 간판 디테일
79,02-interior-seating,좌석과 브랜드 월사인
80,02-interior-seating,좌석 공간

