seq,category,notes
41,06-menu-promotion,promotion poster material
42,05-food-drink-menu,bakery product display
43,02-interior-seating,cafe seating area
44,05-food-drink-menu,bakery showcase and interior
45,01-exterior-signage,exterior entrance promotion
46,05-food-drink-menu,bakery and cake showcase
47,01-exterior-signage,exterior storefront promotion
48,05-food-drink-menu,bakery product display
49,01-exterior-signage,exterior entrance and display
50,01-exterior-signage,exterior sign closeup
51,05-food-drink-menu,sandwich showcase
52,02-interior-seating,cafe seating area
53,05-food-drink-menu,bakery display table
54,01-exterior-signage,exterior storefront sign
55,05-food-drink-menu,bread shelf display
56,05-food-drink-menu,bakery display and store aisle
57,05-food-drink-menu,bakery display and store context
58,05-food-drink-menu,bakery product display
59,01-exterior-signage,exterior entrance
60,05-food-drink-menu,bakery display table
61,02-interior-seating,cafe seating area
62,01-exterior-signage,exterior storefront sign at night
63,05-food-drink-menu,bakery display and store context
64,05-food-drink-menu,bakery display table
65,01-exterior-signage,exterior storefront sign
66,05-food-drink-menu,bakery display corridor
67,05-food-drink-menu,cake showcase
68,05-food-drink-menu,sandwich showcase
69,05-food-drink-menu,bakery display and store context
70,02-interior-seating,cafe seating area
71,05-food-drink-menu,bakery showcase
72,05-food-drink-menu,bread shelf display
73,05-food-drink-menu,sandwich showcase
74,05-food-drink-menu,packaged bakery product display
75,06-menu-promotion,promotion display stand
76,01-exterior-signage,exterior storefront sign
77,05-food-drink-menu,gift and packaged product display
78,05-food-drink-menu,bakery product display
79,05-food-drink-menu,cake showcase
80,05-food-drink-menu,bread shelf display
