seq,category,notes
201,05-food-drink-menu,bakery product display
202,05-food-drink-menu,bakery product display
203,01-exterior-signage,exterior storefront sign
204,02-interior-seating,cafe seating area
205,05-food-drink-menu,bread product display
206,01-exterior-signage,exterior storefront sign
207,06-menu-promotion,product promotion display
208,05-food-drink-menu,beverage cooler and product display
209,05-food-drink-menu,bakery display table
210,05-food-drink-menu,window bakery display
211,05-food-drink-menu,bakery showcase and brand sign
212,05-food-drink-menu,bread product display
213,05-food-drink-menu,cake showcase
214,05-food-drink-menu,bakery display table
215,05-food-drink-menu,bakery display table
216,05-food-drink-menu,bakery product display
217,05-food-drink-menu,sandwich showcase
218,02-interior-seating,cafe seating area
219,05-food-drink-menu,sandwich showcase
220,05-food-drink-menu,bakery product showcase
221,05-food-drink-menu,bread product display
222,05-food-drink-menu,bakery display table
223,06-menu-promotion,brand logo reference
224,01-exterior-signage,exterior storefront sign
225,01-exterior-signage,exterior storefront sign
226,01-exterior-signage,exterior storefront sign at night
227,01-exterior-signage,exterior storefront sign
228,01-exterior-signage,exterior storefront sign
229,05-food-drink-menu,cafe adagio drink product cut
230,05-food-drink-menu,drink product cut
231,05-food-drink-menu,drink product cut
232,01-exterior-signage,exterior storefront and street context
233,04-kitchen-equipment,back room or service corridor reference
234,02-interior-seating,wide bakery interior
235,05-food-drink-menu,bakery display and store context
236,01-exterior-signage,exterior storefront sign at night
237,01-exterior-signage,exterior storefront sign at night
238,01-exterior-signage,exterior storefront and street context
239,01-exterior-signage,exterior storefront sign
240,02-interior-seating,cafe seating and bakery interior
