seq,category,notes
161,01-exterior-signage,exterior storefront sign
162,05-food-drink-menu,bakery and cake display
163,01-exterior-signage,exterior storefront sign
164,06-menu-promotion,window promotion poster
165,05-food-drink-menu,bakery display and store context
166,01-exterior-signage,exterior building sign
167,05-food-drink-menu,sandwich showcase
168,05-food-drink-menu,packaged bakery product display
169,05-food-drink-menu,bread product display
170,05-food-drink-menu,bread product display
171,01-exterior-signage,exterior storefront sign
172,01-exterior-signage,exterior storefront sign
173,05-food-drink-menu,bakery shelf display
174,05-food-drink-menu,bakery showcase
175,05-food-drink-menu,bakery display table
176,05-food-drink-menu,bakery product showcase
177,05-food-drink-menu,bakery product showcase
178,05-food-drink-menu,bakery display table
179,01-exterior-signage,exterior storefront sign
180,05-food-drink-menu,bakery product display
181,05-food-drink-menu,bakery showcase and display island
182,05-food-drink-menu,bread product display
183,05-food-drink-menu,bakery display and store context
184,05-food-drink-menu,bakery product display
185,05-food-drink-menu,bakery product display
186,02-interior-seating,cafe adagio wall sign
187,02-interior-seating,cafe seating area
188,02-interior-seating,cafe seating and showcase context
189,05-food-drink-menu,bakery display table
190,05-food-drink-menu,bakery shelf display
191,05-food-drink-menu,bread product display
192,05-food-drink-menu,bakery aisle display
193,05-food-drink-menu,bakery display table
194,05-food-drink-menu,bakery product display
195,01-exterior-signage,exterior storefront sign
196,05-food-drink-menu,sandwich showcase
197,05-food-drink-menu,bread product display
198,05-food-drink-menu,bakery display table
199,05-food-drink-menu,bread product closeup
200,05-food-drink-menu,cake freezer display
