seq,category,notes
81,05-food-drink-menu,bakery product display
82,01-exterior-signage,exterior storefront sign
83,05-food-drink-menu,cake showcase
84,05-food-drink-menu,bakery product display
85,01-exterior-signage,exterior storefront sign
86,06-menu-promotion,product promotion image
87,05-food-drink-menu,bakery display and store context
88,05-food-drink-menu,packaged product cut
89,05-food-drink-menu,bakery display wall
90,06-menu-promotion,product promotion image
91,05-food-drink-menu,bakery display table
92,05-food-drink-menu,bakery display and store aisle
93,01-exterior-signage,exterior storefront sign
94,05-food-drink-menu,bakery display and brand sign
95,05-food-drink-menu,bakery display and showcase
96,05-food-drink-menu,sandwich showcase
97,01-exterior-signage,exterior storefront sign
98,05-food-drink-menu,bakery product display
99,05-food-drink-menu,cake showcase
100,05-food-drink-menu,bread shelf display
101,05-food-drink-menu,bakery showcase
102,05-food-drink-menu,bakery showcase
103,05-food-drink-menu,cake showcase
104,01-exterior-signage,exterior entrance sign
105,05-food-drink-menu,bakery product display
106,05-food-drink-menu,bakery display aisle
107,03-counter-kiosk-order,counter and menu board
108,05-food-drink-menu,sandwich showcase
109,05-food-drink-menu,cake and bakery showcase
110,05-food-drink-menu,bakery product display
111,01-exterior-signage,exterior storefront sign
112,01-exterior-signage,exterior storefront sign
113,01-exterior-signage,exterior window display and sign
114,05-food-drink-menu,bakery product display
115,05-food-drink-menu,bakery display table
116,05-food-drink-menu,bakery product display
117,01-exterior-signage,exterior storefront sign
118,01-exterior-signage,exterior storefront sign at night
119,02-interior-seating,cafe seating area
120,05-food-drink-menu,bakery display and interior
