seq,category,notes
121,05-food-drink-menu,cake showcase
122,05-food-drink-menu,bakery display and store context
123,05-food-drink-menu,bakery product display
124,05-food-drink-menu,bakery display island
125,02-interior-seating,wide bakery interior
126,05-food-drink-menu,beverage cooler and bakery showcase
127,05-food-drink-menu,sandwich showcase
128,05-food-drink-menu,bakery display with brand sign
129,05-food-drink-menu,window bakery display
130,01-exterior-signage,exterior storefront sign
131,06-menu-promotion,promotion display stand
132,05-food-drink-menu,sandwich showcase
133,01-exterior-signage,exterior storefront sign
134,02-interior-seating,cafe seating area
135,05-food-drink-menu,bakery showcase
136,05-food-drink-menu,bread product display
137,06-menu-promotion,product promotion display
138,05-food-drink-menu,sandwich showcase
139,06-menu-promotion,product promotion stand
140,05-food-drink-menu,bread product display
141,01-exterior-signage,exterior window display
142,01-exterior-signage,exterior storefront sign
143,01-exterior-signage,exterior storefront sign
144,05-food-drink-menu,bakery showcase
145,05-food-drink-menu,cake showcase
146,05-food-drink-menu,cake showcase
147,02-interior-seating,cafe adagio wall sign
148,05-food-drink-menu,sandwich showcase
149,02-interior-seating,cafe seating area
150,05-food-drink-menu,bakery product display
151,05-food-drink-menu,packaged bakery product display
152,05-food-drink-menu,bakery showcase
153,01-exterior-signage,exterior storefront sign
154,05-food-drink-menu,bakery product display
155,05-food-drink-menu,bakery product display
156,05-food-drink-menu,bakery display aisle
157,05-food-drink-menu,bread shelf display
158,05-food-drink-menu,bread and cake display
159,01-exterior-signage,exterior storefront sign
160,01-exterior-signage,exterior window promotion and sign
