seq,category,notes
41,03-counter-kiosk-order,counter menu board and showcase
42,01-exterior-signage,exterior storefront sign
43,03-counter-kiosk-order,counter and showcase
44,03-counter-kiosk-order,counter and entrance context
45,01-exterior-signage,exterior storefront sign
46,03-counter-kiosk-order,counter and showcase
47,03-counter-kiosk-order,counter menu board and showcase
48,01-exterior-signage,exterior storefront sign
49,01-exterior-signage,exterior storefront sign
50,02-interior-seating,interior brand wall sign
51,05-food-drink-menu,drink and sandwich product cut
52,06-menu-promotion,wall menu and promotion graphic
53,06-menu-promotion,interior promotion material
54,02-interior-seating,seating area with brand sign
55,02-interior-seating,seating and counter context
56,03-counter-kiosk-order,counter and showcase
57,02-interior-seating,seating area
58,03-counter-kiosk-order,counter menu board
59,09-caution-unusable,person visible at counter
60,03-counter-kiosk-order,counter and entrance context
61,02-interior-seating,seating and entrance context
62,03-counter-kiosk-order,counter menu board and showcase
63,01-exterior-signage,exterior storefront sign
64,09-caution-unusable,person visible at counter
65,02-interior-seating,seating area
66,03-counter-kiosk-order,counter menu board and showcase
67,02-interior-seating,seating and counter corridor
68,01-exterior-signage,exterior storefront sign
69,03-counter-kiosk-order,counter and menu board
70,01-exterior-signage,exterior storefront sign
71,02-interior-seating,window seating area
72,06-menu-promotion,promotion poster
73,02-interior-seating,seating area
74,03-counter-kiosk-order,counter and showcase
75,02-interior-seating,window seating area
76,03-counter-kiosk-order,counter menu board and showcase
77,02-interior-seating,seating and counter context
78,02-interior-seating,bar seating area
79,03-counter-kiosk-order,counter menu board and showcase
80,02-interior-seating,seating area with brand sign
