seq,category,notes
1,03-counter-kiosk-order,counter menu board and seating context
2,03-counter-kiosk-order,counter menu board
3,03-counter-kiosk-order,counter and showcase
4,03-counter-kiosk-order,kiosk and counter area
5,06-menu-promotion,promotion notice at counter
6,03-counter-kiosk-order,kiosk order area
7,03-counter-kiosk-order,counter and menu board
8,01-exterior-signage,exterior storefront sign
9,02-interior-seating,seating and counter corridor
10,01-exterior-signage,exterior storefront sign
11,03-counter-kiosk-order,counter front and menu board
12,02-interior-seating,seating area with brand sign
13,03-counter-kiosk-order,counter menu board
14,03-counter-kiosk-order,counter menu board and showcase
15,03-counter-kiosk-order,counter menu board and showcase
16,03-counter-kiosk-order,counter and menu board
17,01-exterior-signage,exterior storefront sign
18,05-food-drink-menu,drink and dessert product cut
19,06-menu-promotion,exterior promotion poster
20,01-exterior-signage,exterior storefront sign
21,01-exterior-signage,exterior entrance and seating
22,01-exterior-signage,exterior storefront sign
23,02-interior-seating,seating and counter context
24,03-counter-kiosk-order,counter and order area
25,03-counter-kiosk-order,counter and kiosk area
26,01-exterior-signage,exterior storefront sign
27,03-counter-kiosk-order,counter brand sign closeup
28,05-food-drink-menu,drink and dessert product cut
29,02-interior-seating,seating area
30,02-interior-seating,seating area with brand sign
31,01-exterior-signage,exterior entrance sign
32,01-exterior-signage,exterior blade sign
33,01-exterior-signage,exterior storefront sign
34,02-interior-seating,seating area with brand wall
35,03-counter-kiosk-order,counter and menu board
36,01-exterior-signage,exterior storefront sign
37,05-food-drink-menu,drink product cut
38,03-counter-kiosk-order,kiosk and counter area
39,03-counter-kiosk-order,counter front and menu board
40,03-counter-kiosk-order,counter and store interior
