seq,category,notes
1,02-interior-seating,좌석과 카운터 방향
2,03-counter-kiosk-order,카운터와 쇼케이스
3,03-counter-kiosk-order,디저트 쇼케이스와 카운터
4,06-menu-promotion,외부 케이크 디지털 홍보물
5,02-interior-seating,좌석과 브랜드 월사인
6,02-interior-seating,긴 테이블 좌석
7,02-interior-seating,긴 좌석 공간
8,05-food-drink-menu,커피와 디저트 제품컷
9,05-food-drink-menu,케이크 쇼케이스
10,05-food-drink-menu,디저트 제품컷
11,05-food-drink-menu,케이크 제품컷
12,02-interior-seating,좌석 공간
13,01-exterior-signage,외부 출입구와 간판
14,03-counter-kiosk-order,카운터와 쇼케이스
15,02-interior-seating,좌석과 내부 동선
16,05-food-drink-menu,케이크 쇼케이스
17,01-exterior-signage,외부 전면 간판
18,02-interior-seating,출입구와 내부 동선
19,03-counter-kiosk-order,키오스크와 주문 동선
20,03-counter-kiosk-order,카운터와 메뉴보드
21,02-interior-seating,넓은 좌석 공간
22,02-interior-seating,넓은 좌석 공간
23,05-food-drink-menu,케이크 쇼케이스
24,02-interior-seating,넓은 좌석 공간
25,05-food-drink-menu,디저트 쇼케이스
26,06-menu-promotion,출입구 프로모션 안내물
27,03-counter-kiosk-order,카운터와 메뉴보드
28,05-food-drink-menu,케이크 제품컷
29,02-interior-seating,넓은 좌석 공간
30,03-counter-kiosk-order,카운터와 디지털 메뉴보드
31,03-counter-kiosk-order,카운터와 메뉴보드
32,02-interior-seating,좌석과 브랜드 월사인
33,05-food-drink-menu,커피 제품컷
34,02-interior-seating,좌석과 벽면 그래픽
35,02-interior-seating,좌석 공간
36,05-food-drink-menu,케이크 제품컷
37,02-interior-seating,내부 공간과 좌석
38,02-interior-seating,창가 좌석
39,03-counter-kiosk-order,카운터와 간판
40,02-interior-seating,좌석과 메뉴보드

