seq,category,notes
241,03-counter-kiosk-order,counter menu board and showcase
242,02-interior-seating,seating area
243,02-interior-seating,window seating area
244,01-exterior-signage,exterior storefront sign
245,03-counter-kiosk-order,counter menu board and showcase
246,01-exterior-signage,exterior storefront sign
247,02-interior-seating,interior seating and entrance
248,02-interior-seating,seating area
249,02-interior-seating,wide seating area
250,01-exterior-signage,exterior storefront sign
251,05-food-drink-menu,cake product closeup
252,05-food-drink-menu,cake showcase
253,02-interior-seating,wide seating area
254,03-counter-kiosk-order,counter and seating context
255,05-food-drink-menu,packaged dessert product
256,02-interior-seating,seating area
257,02-interior-seating,seating area
258,05-food-drink-menu,drink product cut
259,03-counter-kiosk-order,counter and POS area
260,02-interior-seating,seating area
261,02-interior-seating,interior circulation
262,02-interior-seating,seating and counter context
263,03-counter-kiosk-order,counter menu board and showcase
264,03-counter-kiosk-order,counter menu board and showcase
265,06-menu-promotion,interior poster and promotion cue
266,02-interior-seating,seating area
267,01-exterior-signage,exterior storefront sign
268,02-interior-seating,seating area
269,03-counter-kiosk-order,counter product and POS display
270,03-counter-kiosk-order,counter and showcase line
271,05-food-drink-menu,cake showcase
272,02-interior-seating,seating corridor
273,03-counter-kiosk-order,counter menu board and showcase
274,05-food-drink-menu,cake showcase
275,03-counter-kiosk-order,counter and order area
276,03-counter-kiosk-order,counter menu board and showcase
277,01-exterior-signage,exterior storefront sign
278,02-interior-seating,seating area
279,03-counter-kiosk-order,counter menu board and showcase
280,02-interior-seating,wide seating area
