seq,category,notes
161,05-food-drink-menu,cake showcase closeup
162,05-food-drink-menu,cake product closeup
163,02-interior-seating,seating area
164,03-counter-kiosk-order,counter and showcase
165,03-counter-kiosk-order,counter and showcase
166,01-exterior-signage,exterior storefront sign
167,02-interior-seating,wide interior seating
168,02-interior-seating,wide interior seating
169,05-food-drink-menu,cake showcase
170,06-menu-promotion,bakery showcase with promotion screen
171,02-interior-seating,seating area
172,03-counter-kiosk-order,counter and showcase
173,03-counter-kiosk-order,counter queue and showcase
174,03-counter-kiosk-order,showcase and kiosk area
175,02-interior-seating,seating area
176,05-food-drink-menu,drink product cut
177,02-interior-seating,wide seating area
178,02-interior-seating,wide seating area
179,02-interior-seating,wide seating area
180,02-interior-seating,window seating
181,02-interior-seating,seating and counter context
182,03-counter-kiosk-order,counter showcase line
183,02-interior-seating,seating area
184,02-interior-seating,seating area
185,06-menu-promotion,brand wall graphic
186,02-interior-seating,seating area
187,02-interior-seating,seating area
188,03-counter-kiosk-order,counter menu board and kiosk
189,02-interior-seating,seating area
190,02-interior-seating,seating area
191,01-exterior-signage,exterior storefront sign
192,02-interior-seating,interior seating corridor
193,01-exterior-signage,exterior storefront sign
194,03-counter-kiosk-order,counter and showcase
195,03-counter-kiosk-order,counter and showcase
196,01-exterior-signage,exterior storefront sign
197,05-food-drink-menu,cake slice closeup
198,03-counter-kiosk-order,counter and seating context
199,03-counter-kiosk-order,counter front
200,02-interior-seating,window seating area
