seq,category,notes
81,03-counter-kiosk-order,카운터와 쇼케이스
82,01-exterior-signage,외부 전면 간판
83,02-interior-seating,넓은 좌석 공간
84,05-food-drink-menu,디저트 쇼케이스
85,03-counter-kiosk-order,카운터와 진열대
86,02-interior-seating,좌석 공간
87,02-interior-seating,좌석 공간
88,03-counter-kiosk-order,카운터와 메뉴보드
89,01-exterior-signage,외부 돌출 간판
90,05-food-drink-menu,케이크 쇼케이스
91,05-food-drink-menu,케이크 쇼케이스
92,05-food-drink-menu,케이크와 음료 제품컷
93,03-counter-kiosk-order,카운터와 진열대
94,05-food-drink-menu,디저트 쇼케이스
95,02-interior-seating,좌석과 벽면 그래픽
96,05-food-drink-menu,케이크 쇼케이스
97,01-exterior-signage,외부 전면 간판
98,02-interior-seating,창가 좌석
99,01-exterior-signage,외부 간판 클로즈업
100,05-food-drink-menu,케이크 쇼케이스
101,02-interior-seating,창가 좌석
102,03-counter-kiosk-order,카운터와 메뉴보드
103,03-counter-kiosk-order,카운터와 메뉴보드
104,01-exterior-signage,외부 전면 간판
105,05-food-drink-menu,케이크 제품컷
106,03-counter-kiosk-order,카운터와 메뉴보드
107,01-exterior-signage,외부 전면 간판
108,05-food-drink-menu,커피와 디저트 제품컷
109,03-counter-kiosk-order,카운터와 쇼케이스
110,06-menu-promotion,브랜드 그래픽 이미지
111,02-interior-seating,넓은 좌석 공간
112,02-interior-seating,좌석 공간
113,02-interior-seating,브랜드 월사인
114,02-interior-seating,좌석과 브랜드 포스터
115,05-food-drink-menu,케이크 제품컷
116,02-interior-seating,넓은 좌석 공간
117,02-interior-seating,긴 좌석 공간
118,02-interior-seating,좌석과 내부 동선
119,02-interior-seating,넓은 좌석 공간
120,02-interior-seating,넓은 좌석 공간

