seq,category,notes
201,06-menu-promotion,promotion poster and product sign
202,03-counter-kiosk-order,showcase island and counter area
203,02-interior-seating,interior seating and counter context
204,02-interior-seating,window seating area
205,01-exterior-signage,exterior storefront sign
206,03-counter-kiosk-order,counter showcase
207,02-interior-seating,interior seating and counter context
208,03-counter-kiosk-order,counter menu board
209,02-interior-seating,wide interior seating
210,03-counter-kiosk-order,counter showcase line
211,06-menu-promotion,menu and product promotion stand
212,01-exterior-signage,exterior storefront sign
213,01-exterior-signage,exterior storefront sign
214,03-counter-kiosk-order,counter with product display
215,02-interior-seating,interior corridor and seating
216,01-exterior-signage,exterior entrance sign
217,02-interior-seating,seating area with drink
218,05-food-drink-menu,packaged dessert product
219,05-food-drink-menu,packaged dessert product
220,03-counter-kiosk-order,counter product display
221,01-exterior-signage,exterior storefront sign
222,02-interior-seating,seating area
223,02-interior-seating,seating area
224,05-food-drink-menu,cake showcase
225,05-food-drink-menu,cake product closeup
226,01-exterior-signage,exterior storefront sign
227,03-counter-kiosk-order,counter and menu board
228,05-food-drink-menu,cake product closeup
229,02-interior-seating,seating corner
230,02-interior-seating,interior wall and seating
231,05-food-drink-menu,cake showcase
232,02-interior-seating,wide seating area
233,02-interior-seating,wide seating area
234,02-interior-seating,stair and seating area
235,03-counter-kiosk-order,counter and product display
236,02-interior-seating,seating area
237,02-interior-seating,window seating area
238,03-counter-kiosk-order,counter and menu board
239,02-interior-seating,booth seating
240,02-interior-seating,window seating area
