seq,category,notes
321,09-caution-unusable,people visible in seating area
322,09-caution-unusable,people visible in seating area
323,09-caution-unusable,people visible near kiosk
324,09-caution-unusable,people visible in seating area
325,09-caution-unusable,people visible in seating area
326,06-menu-promotion,brand logo reference
327,01-exterior-signage,exterior storefront sign
328,01-exterior-signage,exterior storefront sign
329,09-caution-unusable,people visible in seating area
330,06-menu-promotion,seasonal promotion poster
331,01-exterior-signage,exterior storefront sign
332,03-counter-kiosk-order,counter and seating context
333,03-counter-kiosk-order,counter menu board and showcase
334,01-exterior-signage,exterior storefront sign
335,01-exterior-signage,entrance sign and seating
336,03-counter-kiosk-order,counter showcase line
337,03-counter-kiosk-order,counter showcase line
338,02-interior-seating,seating area
339,06-menu-promotion,window promotion poster
340,02-interior-seating,seating area
341,03-counter-kiosk-order,counter and product display
342,03-counter-kiosk-order,counter and product display
343,06-menu-promotion,digital menu board
344,01-exterior-signage,exterior storefront sign
345,03-counter-kiosk-order,counter and menu board
346,03-counter-kiosk-order,counter and kiosk area
347,02-interior-seating,seating area
348,03-counter-kiosk-order,counter menu board and showcase
349,03-counter-kiosk-order,kiosk and promotion screen
350,05-food-drink-menu,dessert and drink product cut
351,05-food-drink-menu,bakery showcase
352,06-menu-promotion,digital menu board closeup
353,05-food-drink-menu,drink and cake product cut
