seq,category,notes
281,01-exterior-signage,exterior storefront sign
282,02-interior-seating,window seating area
283,03-counter-kiosk-order,counter product and menu display
284,02-interior-seating,seating area
285,02-interior-seating,seating area
286,03-counter-kiosk-order,counter menu board and showcase
287,06-menu-promotion,brand wall graphic and poster
288,02-interior-seating,seating area
289,02-interior-seating,seating area
290,03-counter-kiosk-order,counter menu board and showcase
291,01-exterior-signage,exterior storefront sign
292,02-interior-seating,interior counter corridor
293,02-interior-seating,window seating area
294,05-food-drink-menu,cake product closeup
295,03-counter-kiosk-order,kiosk and counter corridor
296,05-food-drink-menu,cake showcase
297,01-exterior-signage,exterior building sign
298,02-interior-seating,seating and counter context
299,02-interior-seating,window seating booth
300,01-exterior-signage,exterior storefront sign
301,01-exterior-signage,exterior storefront sign
302,02-interior-seating,interior seating area
303,09-caution-unusable,people visible in seating area
304,09-caution-unusable,people visible in seating area
305,09-caution-unusable,people visible in interior
306,09-caution-unusable,people visible at counter
307,09-caution-unusable,people visible near kiosk
308,09-caution-unusable,people visible in seating area
309,09-caution-unusable,people visible in seating area
310,01-exterior-signage,exterior storefront sign
311,02-interior-seating,seating area
312,02-interior-seating,seating area
313,03-counter-kiosk-order,counter and seating context
314,02-interior-seating,seating area
315,06-menu-promotion,wall menu graphic
316,02-interior-seating,seating area
317,01-exterior-signage,exterior storefront sign
318,01-exterior-signage,exterior storefront sign
319,01-exterior-signage,exterior storefront sign
320,02-interior-seating,seating area
