seq,category,notes
121,03-counter-kiosk-order,counter menu board and product display
122,02-interior-seating,interior circulation and seating
123,06-menu-promotion,digital menu board closeup
124,02-interior-seating,window seating area
125,03-counter-kiosk-order,counter and showcase line
126,01-exterior-signage,exterior storefront sign
127,02-interior-seating,window seating and interior
128,05-food-drink-menu,drink product cut
129,02-interior-seating,wide seating and counter context
130,03-counter-kiosk-order,counter showcase line
131,02-interior-seating,wide seating area
132,01-exterior-signage,entrance door and exterior cue
133,02-interior-seating,seating area
134,02-interior-seating,wide seating and counter context
135,02-interior-seating,wide seating and counter context
136,05-food-drink-menu,cake showcase
137,05-food-drink-menu,cake showcase
138,02-interior-seating,wide seating area
139,02-interior-seating,seating corridor
140,05-food-drink-menu,cake showcase closeup
141,09-caution-unusable,kiosk screen with model/person image
142,05-food-drink-menu,drink product cut
143,01-exterior-signage,exterior storefront sign
144,05-food-drink-menu,cake and coffee product cut
145,03-counter-kiosk-order,counter and showcase line
146,02-interior-seating,interior queue and waiting area
147,05-food-drink-menu,cake product showcase
148,05-food-drink-menu,bakery showcase
149,05-food-drink-menu,bakery showcase
150,01-exterior-signage,exterior storefront sign
151,03-counter-kiosk-order,counter and product display
152,03-counter-kiosk-order,counter and merchandise display
153,02-interior-seating,seating area with brand wall
154,03-counter-kiosk-order,counter menu board and showcase
155,02-interior-seating,wide seating area
156,02-interior-seating,large seating area
157,03-counter-kiosk-order,counter with brand sign and menu board
158,02-interior-seating,window seating area
159,03-counter-kiosk-order,counter order area
160,02-interior-seating,window seating area
