seq,category,notes
41,02-interior-seating,seating and cake freezer context
42,03-counter-kiosk-order,kiosk and counter display
43,02-interior-seating,seating area
44,03-counter-kiosk-order,counter and kiosk area
45,02-interior-seating,seating and cake freezer context
46,05-food-drink-menu,ice cream cone product cut
47,02-interior-seating,window seating area
48,09-caution-unusable,person visible at counter
49,06-menu-promotion,product promotion rack
50,02-interior-seating,window seating area
51,02-interior-seating,seating area
52,01-exterior-signage,exterior sign closeup
53,03-counter-kiosk-order,kiosk order area
54,05-food-drink-menu,cake freezer display
55,03-counter-kiosk-order,counter and menu board
56,01-exterior-signage,exterior storefront sign
57,03-counter-kiosk-order,kiosk order area
58,03-counter-kiosk-order,counter and cake freezer context
59,05-food-drink-menu,cake freezer display
60,03-counter-kiosk-order,kiosk and seating context
61,03-counter-kiosk-order,counter and ice cream display
62,05-food-drink-menu,cake freezer display
63,02-interior-seating,seating area with wall graphic
64,03-counter-kiosk-order,counter and kiosk area
65,05-food-drink-menu,cake freezer display
66,05-food-drink-menu,cake freezer display
67,03-counter-kiosk-order,kiosk area
68,03-counter-kiosk-order,kiosk and cake freezer area
69,05-food-drink-menu,cake freezer display
70,03-counter-kiosk-order,counter ice cream display
71,05-food-drink-menu,cake freezer display
72,02-interior-seating,seating and cake freezer context
73,06-menu-promotion,digital menu promotion
74,06-menu-promotion,product promotion rack
75,05-food-drink-menu,cake freezer display
76,03-counter-kiosk-order,counter ice cream display
77,02-interior-seating,seating and cake freezer context
78,02-interior-seating,seating and cake freezer context
79,01-exterior-signage,exterior storefront sign
80,05-food-drink-menu,cake freezer display
