seq,category,notes
1,03-counter-kiosk-order,counter menu board and ice cream display
2,03-counter-kiosk-order,counter menu board
3,03-counter-kiosk-order,counter ice cream display
4,03-counter-kiosk-order,kiosk and seating context
5,06-menu-promotion,digital menu board closeup
6,05-food-drink-menu,cake freezer display
7,03-counter-kiosk-order,counter and menu board
8,02-interior-seating,seating and cake freezer area
9,01-exterior-signage,exterior storefront sign
10,02-interior-seating,seating and kiosk area
11,06-menu-promotion,menu promotion panel
12,05-food-drink-menu,ice cream product cut
13,03-counter-kiosk-order,counter ice cream display
14,05-food-drink-menu,cake freezer display
15,03-counter-kiosk-order,counter product display
16,05-food-drink-menu,ice cream cup product cut
17,06-menu-promotion,interior promotion stand
18,05-food-drink-menu,ice cream product cut
19,03-counter-kiosk-order,counter and menu board
20,05-food-drink-menu,cake freezer display
21,02-interior-seating,seating area
22,06-menu-promotion,digital promotion screen
23,05-food-drink-menu,ice cream showcase
24,05-food-drink-menu,cake freezer display
25,02-interior-seating,seating and cake freezer context
26,02-interior-seating,seating and cake freezer context
27,05-food-drink-menu,cake freezer display
28,05-food-drink-menu,cake freezer and display case
29,03-counter-kiosk-order,kiosk and interior order area
30,03-counter-kiosk-order,counter and menu board
31,01-exterior-signage,exterior storefront sign
32,03-counter-kiosk-order,counter and menu board
33,02-interior-seating,window seating area
34,03-counter-kiosk-order,counter ice cream display
35,01-exterior-signage,exterior storefront sign
36,03-counter-kiosk-order,counter and promotion stand
37,03-counter-kiosk-order,counter and order area
38,03-counter-kiosk-order,kiosk and order area
39,06-menu-promotion,brand wall graphic
40,02-interior-seating,long table seating area
