seq,category,notes
201,01-exterior-signage,외부 전면 간판
202,03-counter-kiosk-order,카운터와 내부 동선
203,03-counter-kiosk-order,카운터와 좌석 방향
204,02-interior-seating,넓은 좌석 공간
205,02-interior-seating,좌석과 브랜드 월사인
206,02-interior-seating,좌석과 브랜드 월사인
207,02-interior-seating,좌석과 브랜드 월사인
208,01-exterior-signage,외부 주문창과 간판
209,01-exterior-signage,외부 전면 간판
210,02-interior-seating,좌석 공간
211,02-interior-seating,좌석과 벽면 문구
212,02-interior-seating,좌석과 브랜드 벽면
213,02-interior-seating,긴 좌석 동선
214,02-interior-seating,좌석과 키오스크 방향
215,03-counter-kiosk-order,카운터와 키오스크
216,02-interior-seating,좌석과 브랜드 월사인
217,03-counter-kiosk-order,카운터와 메뉴보드
218,01-exterior-signage,외부 전면 간판
219,09-caution-unusable,인물 홍보물이 크게 노출됨
220,03-counter-kiosk-order,카운터와 메뉴보드
221,03-counter-kiosk-order,카운터와 메뉴보드
222,02-interior-seating,긴 좌석 공간
223,02-interior-seating,좌석 공간
224,02-interior-seating,좌석 공간
225,03-counter-kiosk-order,카운터와 메뉴보드
226,05-food-drink-menu,머그컵 제품컷
227,02-interior-seating,좌석과 브랜드 월사인
228,06-menu-promotion,메뉴 포스터
229,06-menu-promotion,메뉴 포스터
230,01-exterior-signage,외부 전면 간판
231,03-counter-kiosk-order,카운터와 메뉴보드
232,02-interior-seating,좌석 공간
233,01-exterior-signage,외부 입간판과 주문창
234,02-interior-seating,긴 좌석 공간
235,03-counter-kiosk-order,카운터와 메뉴보드
236,06-menu-promotion,디지털 메뉴보드
237,03-counter-kiosk-order,카운터와 키오스크
238,06-menu-promotion,디지털 메뉴보드
239,01-exterior-signage,외부 주문창과 간판
240,02-interior-seating,좌석과 브랜드 월사인

