seq,category,notes
41,09-caution-unusable,키오스크 화면에 인물 홍보물이 크게 노출됨
42,02-interior-seating,좌석과 브랜드 월사인
43,01-exterior-signage,외부 전면 간판
44,05-food-drink-menu,음료 제품컷
45,02-interior-seating,넓은 좌석 공간
46,09-caution-unusable,인물 홍보물이 크게 노출됨
47,03-counter-kiosk-order,카운터와 메뉴보드
48,01-exterior-signage,야간 외부 전면 간판
49,01-exterior-signage,외부 전면 간판
50,01-exterior-signage,외부 출입구와 내부 좌석
51,02-interior-seating,좌석과 벽면 문구
52,01-exterior-signage,외부 전면 간판
53,03-counter-kiosk-order,카운터와 메뉴보드
54,03-counter-kiosk-order,카운터와 내부 동선
55,01-exterior-signage,외부 전면 간판
56,05-food-drink-menu,음료 제품컷
57,05-food-drink-menu,음료 제품컷
58,01-exterior-signage,외부 전면 간판
59,06-menu-promotion,디지털 메뉴보드
60,01-exterior-signage,외부 전면 간판
61,01-exterior-signage,외부 전면 간판
62,03-counter-kiosk-order,카운터와 키오스크
63,02-interior-seating,좌석과 카운터 방향
64,01-exterior-signage,외부 전면 간판
65,09-caution-unusable,인물 홍보물이 크게 노출됨
66,03-counter-kiosk-order,카운터와 메뉴보드
67,02-interior-seating,좌석과 브랜드 월사인
68,09-caution-unusable,인물 이미지가 컵에 크게 노출됨
69,03-counter-kiosk-order,키오스크와 메뉴 화면
70,02-interior-seating,넓은 좌석 공간
71,02-interior-seating,좌석 공간
72,09-caution-unusable,인물 홍보물이 크게 노출됨
73,02-interior-seating,좌석과 브랜드 월사인
74,03-counter-kiosk-order,키오스크와 주문 동선
75,01-exterior-signage,외부 전면 간판
76,06-menu-promotion,메뉴 안내판
77,06-menu-promotion,디지털 메뉴보드
78,06-menu-promotion,외부 메뉴판과 프로모션
79,05-food-drink-menu,음료 제품컷
80,09-caution-unusable,인물 이미지가 컵에 크게 노출됨

