seq,category,notes
161,01-exterior-signage,외부 전면 간판
162,03-counter-kiosk-order,카운터와 메뉴보드
163,02-interior-seating,좌석과 벽면 문구
164,03-counter-kiosk-order,카운터와 쇼윈도 방향
165,02-interior-seating,좌석과 브랜드 월사인
166,01-exterior-signage,외부 전면 간판
167,03-counter-kiosk-order,카운터와 내부 동선; 인물 홍보물 보임
168,01-exterior-signage,외부 전면 간판
169,06-menu-promotion,프로모션 포스터
170,02-interior-seating,브랜드 벽면 문구
171,02-interior-seating,넓은 좌석 공간
172,02-interior-seating,좌석과 브랜드 월사인
173,03-counter-kiosk-order,카운터와 메뉴보드
174,06-menu-promotion,브랜드 사이즈 안내 그래픽
175,02-interior-seating,좌석 공간
176,02-interior-seating,좌석과 브랜드 월사인
177,02-interior-seating,브랜드 로고 벽면
178,01-exterior-signage,외부 전면 간판
179,01-exterior-signage,야간 외부 전면 간판
180,01-exterior-signage,외부 주문창과 간판
181,01-exterior-signage,외부 전면 간판
182,01-exterior-signage,외부 전면 간판
183,03-counter-kiosk-order,카운터와 메뉴보드
184,02-interior-seating,긴 좌석 공간
185,03-counter-kiosk-order,카운터와 메뉴보드
186,02-interior-seating,좌석 공간
187,01-exterior-signage,외부 주문창과 간판
188,09-caution-unusable,인물 홍보물이 크게 노출됨
189,01-exterior-signage,외부 주문창과 간판
190,03-counter-kiosk-order,카운터와 메뉴보드
191,02-interior-seating,좌석과 브랜드 월사인
192,03-counter-kiosk-order,카운터와 메뉴보드
193,01-exterior-signage,외부 전면 간판과 쇼윈도
194,03-counter-kiosk-order,카운터와 좌석 방향
195,01-exterior-signage,외부 전면 간판
196,03-counter-kiosk-order,카운터와 메뉴보드
197,02-interior-seating,넓은 좌석 공간
198,02-interior-seating,좌석과 브랜드 월사인
199,02-interior-seating,긴 좌석 동선
200,02-interior-seating,좌석과 브랜드 문구

