seq,category,notes
241,01-exterior-signage,외부 전면 간판
242,02-interior-seating,창가 좌석
243,02-interior-seating,넓은 좌석 공간
244,02-interior-seating,넓은 좌석 공간
245,02-interior-seating,좌석과 카운터 방향
246,02-interior-seating,넓은 좌석 공간
247,03-counter-kiosk-order,카운터와 메뉴보드
248,09-caution-unusable,키오스크 화면에 인물 홍보물이 크게 노출됨
249,03-counter-kiosk-order,카운터와 메뉴보드
250,03-counter-kiosk-order,카운터와 메뉴보드
251,03-counter-kiosk-order,카운터와 메뉴보드
252,02-interior-seating,긴 좌석 동선
253,02-interior-seating,긴 좌석 공간
254,02-interior-seating,넓은 좌석 공간
255,07-street-trade-area,거리와 건물 전면에서 보이는 매장
256,01-exterior-signage,외부 전면 간판
257,07-street-trade-area,거리 전경과 매장 노출
258,02-interior-seating,좌석과 브랜드 벽면; 사람 있음
259,02-interior-seating,좌석과 브랜드 벽면
260,02-interior-seating,좌석 공간
261,03-counter-kiosk-order,카운터와 메뉴보드
262,03-counter-kiosk-order,카운터와 내부 동선
263,02-interior-seating,브랜드 월사인과 좌석
264,02-interior-seating,긴 좌석 공간
265,02-interior-seating,좌석 공간
266,02-interior-seating,좌석 공간
267,02-interior-seating,넓은 좌석 공간
268,02-interior-seating,브랜드 월사인과 좌석
269,03-counter-kiosk-order,카운터와 메뉴보드
270,03-counter-kiosk-order,카운터와 메뉴보드
271,07-street-trade-area,거리 전경과 매장 노출
272,01-exterior-signage,외부 전면 간판
273,02-interior-seating,좌석과 브랜드 벽면; 사람 있음
274,02-interior-seating,좌석과 브랜드 벽면
275,02-interior-seating,좌석 공간
276,02-interior-seating,브랜드 월사인과 좌석
277,01-exterior-signage,외부 주문창과 간판
278,02-interior-seating,좌석 공간
279,02-interior-seating,창가 좌석과 진열대
280,03-counter-kiosk-order,키오스크와 내부 동선

