seq,category,notes
121,02-interior-seating,창가 좌석
122,02-interior-seating,좌석 공간
123,03-counter-kiosk-order,카운터와 메뉴보드
124,02-interior-seating,좌석 디테일
125,05-food-drink-menu,음료 제품컷
126,02-interior-seating,긴 좌석 동선
127,05-food-drink-menu,음료 제품컷
128,02-interior-seating,좌석과 브랜드 월사인
129,03-counter-kiosk-order,카운터와 메뉴보드
130,03-counter-kiosk-order,카운터와 메뉴보드
131,05-food-drink-menu,음료 제품컷
132,01-exterior-signage,외부 주문창과 간판
133,01-exterior-signage,외부 전면 간판
134,03-counter-kiosk-order,카운터와 좌석 방향
135,02-interior-seating,좌석 공간
136,06-menu-promotion,메뉴 안내판
137,06-menu-promotion,내부 진열대
138,03-counter-kiosk-order,키오스크와 주문 동선
139,02-interior-seating,긴 좌석 동선
140,01-exterior-signage,외부 주문창과 간판
141,06-menu-promotion,진열대와 홍보물
142,06-menu-promotion,디지털 메뉴보드
143,01-exterior-signage,외부 주문창과 간판
144,02-interior-seating,긴 좌석 공간
145,01-exterior-signage,외부 메뉴 입간판
146,03-counter-kiosk-order,카운터와 메뉴보드
147,02-interior-seating,브랜드 로고 벽면
148,02-interior-seating,좌석 공간
149,02-interior-seating,내부 통로와 좌석
150,02-interior-seating,벽면 그래픽
151,06-menu-promotion,내부 진열대와 문구
152,01-exterior-signage,외부 주문창과 간판
153,02-interior-seating,브랜드 벽면 그래픽
154,02-interior-seating,좌석 공간
155,09-caution-unusable,인물 홍보물이 크게 노출됨
156,01-exterior-signage,외부 전면 간판
157,01-exterior-signage,외부 전면 간판
158,01-exterior-signage,외부 주문창
159,03-counter-kiosk-order,카운터와 메뉴보드
160,03-counter-kiosk-order,카운터와 메뉴보드

